Freq [MHz],"dB(S(1,1)) []","dB(S(T1,T1)) []","dB(S(T2,T2)) []","dB(S(T3,T3)) []","dB(S(T4,T4)) []","dB(S(T5,T5)) []","dB(S(T6,T6)) []"
919.7777778,-18.87911685,-5.676177203,-5.106128936,-5.712201728,-5.611302679,-5.412236634,-5.231678488
920,-18.98986471,-6.21169142,-5.496441381,-6.19743136,-5.527633313,-5.389889116,-5.238862455
920.2222222,-19.09545455,-6.615519018,-5.740898645,-6.519578958,-5.267770718,-5.152727593,-5.035713869
920.4444444,-19.19254118,-6.772525544,-5.768449272,-6.579511561,-4.899890883,-4.771812537,-4.68280582
920.6666667,-19.2782479,-6.631208593,-5.570850291,-6.35785524,-4.496572999,-4.336316607,-4.265235254
920.8888889,-19.35130059,-6.247943147,-5.210962222,-5.933429748,-4.109899213,-3.91375423,-3.851912669
921.1111111,-19.41287944,-5.742348169,-4.780160403,-5.424039224,-3.767399524,-3.540028617,-3.481846791
921.3333333,-19.46651646,-5.222437496,-4.352985386,-4.922948757,-3.478606407,-3.227243932,-3.169747755
921.5555556,-19.51694676,-4.751689899,-3.971574912,-4.479972584,-3.242855148,-2.97431141,-2.916150874
921.7777778,-19.56860076,-4.354945542,-3.651717348,-4.11180767,-3.054853728,-2.774481571,-2.715163128
922,-19.62457211,-4.034589887,-3.393916864,-3.817161574,-2.907868555,-2.619485971,-2.558910791
922.2222222,-19.68636772,-3.783022282,-3.191805248,-3.587281382,-2.795282969,-2.501440344,-2.439662675
922.4444444,-19.75420822,-3.589605812,-3.036931204,-3.411550321,-2.711232972,-2.413541871,-2.350655319
922.6666667,-19.82750602,-3.443864448,-2.92102534,-3.279957177,-2.650778271,-2.35019796,-2.286288222
922.8888889,-19.90528068,-3.336673241,-2.836868681,-3.183947142,-2.609864682,-2.306922449,-2.242051922
923.1111111,-19.98643332,-3.260515383,-2.778489638,-3.116540353,-2.585208329,-2.280159195,-2.214365667
923.3333333,-20.0698882,-3.209361343,-2.741079228,-3.072166185,-2.574162853,-2.267102099,-2.200402926
923.5555556,-20.15462658,-3.178428921,-2.720812847,-3.046418316,-2.574595533,-2.265537112,-2.197934986
923.7777778,-20.23961952,-3.163933707,-2.714661126,-3.035814981,-2.584781153,-2.273712436,-2.205201131
924,-20.32365825,-3.162869795,-2.720221332,-3.037593346,-2.60331484,-2.290235355,-2.220804887
924.2222222,-20.40516252,-3.17283039,-2.7355778,-3.0495433,-2.629042027,-2.313991552,-2.243632654
924.4444444,-20.48226924,-3.191866074,-2.759190509,-3.069876982,-2.661002792,-2.344082445,-2.272790433
924.6666667,-20.55348299,-3.218374776,-2.789807681,-3.09712786,-2.698387796,-2.379776571,-2.307554733
924.8888889,-20.61835714,-3.251017038,-2.826397738,-3.130073143,-2.740503414,-2.420471748,-2.347334388
925.1111111,-20.67727454,-3.288651004,-2.868096414,-3.167674291,-2.786744063,-2.465665444,-2.391640685
925.3333333,-20.73065262,-3.330282609,-2.914165533,-3.2090314,-2.836570183,-2.51493138,-2.440063809
925.5555556,-20.77852181,-3.375027521,-2.963960754,-3.253348245,-2.889490618,-2.567900845,-2.492254062
925.7777778,-20.82058531,-3.422082193,-3.016906187,-3.299905586,-2.945048521,-2.624247609,-2.547906696
926,-20.85640745,-3.470702126,-3.072474336,-3.348040913,-3.002810044,-2.683675547,-2.606749484
926.2222222,-20.8855458,-3.520185914,-3.130170216,-3.397133348,-3.062355345,-2.745908362,-2.668532359
926.4444444,-20.9076142,-3.569864043,-3.189518811,-3.446592728,-3.123271514,-2.810680922,-2.733018647
926.6666667,-20.92230645,-3.61909168,-3.250055293,-3.495852164,-3.18514717,-2.877731866,-2.799977507
926.8888889,-20.92940256,-3.66724489,-3.311317569,-3.54436355,-3.247568553,-2.94679724,-2.869177333
927.1111111,-20.92876815,-3.7137198,-3.372840922,-3.591595624,-3.310116988,-3.017605005,-2.940379924
927.3333333,-20.92035134,-3.757934329,-3.434154529,-3.637034225,-3.372367645,-3.089870314,-3.013335323
927.5555556,-20.90417843,-3.799332082,-3.494779791,-3.680184454,-3.433889546,-3.163291532,-3.087777256
927.7777778,-20.88034874,-3.837388007,-3.55423038,-3.720574435,-3.494246782,-3.237547009,-3.163419178
928,-20.84902866,-3.871615377,-3.612013968,-3.757760345,-3.553000873,-3.312292653,-3.239950956
928.2222222,-20.81044507,-3.901573603,-3.667635584,-3.79133238,-3.609714232,-3.387160388,-3.31703628
928.4444444,-20.764878,-3.926876349,-3.720602485,-3.820921258,-3.663954621,-3.461757621,-3.394310914
928.6666667,-20.71265283,-3.947199382,-3.770430443,-3.846204851,-3.715300476,-3.535667829,-3.471381924
928.8888889,-20.65413193,-3.962287617,-3.816651208,-3.866914526,-3.763346914,-3.608452397,-3.547828056
929.1111111,-20.58970597,-3.971960817,-3.858820912,-3.882840757,-3.807712221,-3.679653834,-3.623201415
929.3333333,-20.51978448,-3.976117511,-3.896529039,-3.893837634,-3.848044535,-3.748800434,-3.697030613
929.5555556,-20.44478546,-3.97473679,-3.929407573,-3.899825925,-3.884028452,-3.815412426,-3.768825502
929.7777778,-20.36512291,-3.96787778,-3.957139857,-3.900794441,-3.915391222,-3.879009591,-3.838083568
930,-20.28119063,-3.955676743,-3.979468683,-3.896799559,-3.941908235,-3.939120196,-3.904297975
930.2222222,-20.19333923,-3.938341931,-3.996203147,-3.887962877,-3.963407494,-3.995291047,-3.966967166
930.4444444,-20.10184169,-3.916146435,-4.007223847,-3.874467065,-3.979772834,-4.047098326,-4.025605779
930.6666667,-20.00684103,-3.889419408,-4.012486087,-3.856550126,-3.990945689,-4.09415877,-4.079756559
930.8888889,-19.90827362,-3.858536119,-4.012020856,-3.834498324,-3.99692531,-4.136140688,-4.129002764
931.1111111,-19.80576915,-3.823907332,-4.005933507,-3.808638143,-3.997767395,-4.172774231,-4.172980503
931.3333333,-19.69855474,-3.785968495,-3.994400179,-3.779327629,-3.993581221,-4.203860332,-4.211390349
931.5555556,-19.58545211,-3.745169195,-3.977662158,-3.746947515,-3.984525405,-4.229277759,-4.244007538
931.7777778,-19.46513863,-3.701963276,-3.956018483,-3.711892476,-3.970802534,-4.248987801,-4.270690116
932,-19.33682328,-3.67200084,-3.945656975,-3.686859363,-3.959075324,-4.264969376,-4.289189517
932.2222222,-19.20114396,-3.653834806,-3.942598634,-3.673142064,-3.947610316,-4.274933702,-4.298983887
