Freq [MHz],"dB(S(1,1)) []","dB(S(can_1,can_1)) []","dB(S(can_2,can_2)) []","dB(S(can_3,can_3)) []","dB(S(can_4,can_4)) []","dB(S(can_5,can_5)) []","dB(S(can_6,can_6)) []"
881.7777778,-13.49972228,-4.595125169,-5.91312243,-5.943898213,-4.827377261,-6.240133194,-6.439688482
882,-13.49600866,-4.629185043,-5.953732704,-5.986975129,-4.866278642,-6.296158372,-6.506261703
882.2222222,-13.49302827,-4.661307247,-5.991783215,-6.027123574,-4.891220245,-6.334547098,-6.552300895
882.4444444,-13.48974877,-4.691121555,-6.027212034,-6.064233358,-4.904999984,-6.359422455,-6.581581119
882.6666667,-13.4852258,-4.718358495,-6.05995211,-6.098224708,-4.910557145,-6.374649323,-6.598151178
882.8888889,-13.47881751,-4.742809463,-6.089928279,-6.129035158,-4.910386288,-6.383384004,-6.605627639
883.1111111,-13.47027425,-4.764302144,-6.117055715,-6.156613043,-4.906363105,-6.387985432,-6.606917064
883.3333333,-13.45968639,-4.782689203,-6.141238487,-6.18091463,-4.899788853,-6.390101836,-6.6041915
883.5555556,-13.44735561,-4.797847548,-6.162367481,-6.201903178,-4.891511917,-6.39081563,-6.598981663
883.7777778,-13.43366524,-4.80968584,-6.180317252,-6.219548964,-4.882054038,-6.390788063,-6.592306706
884,-13.41899033,-4.818158027,-6.1949415,-6.233829745,-4.871714289,-6.390381002,-6.584800455
884.2222222,-13.40021911,-4.822993877,-6.205896401,-6.244568009,-4.868327411,-6.380612899,-6.580188336
884.4444444,-13.37915322,-4.825642196,-6.21368797,-6.252008146,-4.866103209,-6.374067642,-6.580767292
884.6666667,-13.35712005,-4.826439728,-6.218444893,-6.256226838,-4.861842082,-6.382082824,-6.583964572
884.8888889,-13.3341763,-4.825423475,-6.220156496,-6.257220636,-4.855524381,-6.40117217,-6.588175382
885.1111111,-13.31037794,-4.822648986,-6.218820787,-6.254995984,-4.847080788,-6.423534487,-6.592244168
885.3333333,-13.28577893,-4.818193225,-6.214443964,-6.2495689,-4.836262261,-6.443926243,-6.595344186
885.5555556,-13.26042981,-4.812156231,-6.207039692,-6.240964513,-4.821941684,-6.460223056,-6.596887229
885.7777778,-13.23437634,-4.804658302,-6.196628131,-6.229216442,-4.823941729,-6.471969388,-6.596458703
886,-13.20765818,-4.795825432,-6.183234661,-6.214366007,-4.807376294,-6.479349963,-6.59377186
886.2222222,-13.18030778,-4.785748907,-6.166888266,-6.19646125,-4.786996944,-6.482730506,-6.588635931
886.4444444,-13.15234963,-4.774399254,-6.147619527,-6.175555759,-4.767670631,-6.482493813,-6.580934178
886.6666667,-13.12380033,-4.761488529,-6.125458193,-6.151707257,-4.747616416,-6.478994897,-6.570609064
886.8888889,-13.09466982,-4.746349243,-6.100430376,-6.124975961,-4.726574496,-6.472557984,-6.557652673
887.1111111,-13.06496469,-4.728031758,-6.072555526,-6.095422689,-4.704563249,-6.463485954,-6.542101155
887.3333333,-13.03469479,-4.705790548,-6.041843649,-6.063106805,-4.681696424,-6.452072029,-6.52403251
887.5555556,-13.00388488,-4.679659789,-6.00829379,-6.028084199,-4.658140641,-6.438610534,-6.503567342
887.7777778,-12.97259386,-4.650479457,-5.971895725,-5.990405835,-4.634105014,-6.423406006,-6.480872498
888,-12.94094509,-4.619347303,-5.932638266,-5.950118088,-4.60984134,-6.406780499,-6.456167596
888.2222222,-12.90917125,-4.587121229,-5.890529068,-5.907267425,-4.585649082,-6.389078926,-6.429734383
888.4444444,-12.87767699,-4.554299098,-5.84563118,-5.861914366,-4.561883211,-6.37067182,-6.40192835
888.6666667,-12.84711793,-4.5211274,-5.798117441,-5.814165102,-4.538963811,-6.351954256,-6.373190908
