Freq [MHz],"dB(S(1,1)) []","dB(S(can_1,can_1)) []","dB(S(can_2,can_2)) []","dB(S(can_3,can_3)) []","dB(S(can_4,can_4)) []","dB(S(can_5,can_5)) []","dB(S(can_6,can_6)) []"
899.7777778,-13.50569657,-2.893431239,-3.720869759,-3.428912673,-3.170243004,-4.31463685,-4.175152757
900,-13.54354999,-2.858909144,-3.665906581,-3.379565953,-3.097658089,-4.200618864,-4.065839118
900.2222222,-13.58203066,-2.825571582,-3.611080463,-3.330681635,-3.030789282,-4.097382915,-3.964805257
900.4444444,-13.62155262,-2.792920273,-3.557035261,-3.282672498,-2.969663175,-4.005693905,-3.873496918
900.6666667,-13.66262847,-2.760644102,-3.504519143,-3.236071421,-2.913833496,-3.925372319,-3.792395319
900.8888889,-13.70581952,-2.728615967,-3.454210855,-3.191403865,-2.862613492,-3.855433887,-3.721114587
901.1111111,-13.7516439,-2.696819816,-3.40654794,-3.149017376,-2.815229994,-3.794293151,-3.658589518
901.3333333,-13.80043979,-2.665288382,-3.361643935,-3.108965378,-2.770905823,-3.739991606,-3.603293373
901.5555556,-13.8522065,-2.634068823,-3.319323188,-3.071018788,-2.728891364,-3.690415702,-3.553437917
901.7777778,-13.90648396,-2.603209088,-3.279229842,-3.034784049,-2.6884666,-3.6434803,-3.507129899
902,-13.96235536,-2.572756675,-3.240942793,-2.999840511,-2.648931873,-3.597265916,-3.462480909
902.2222222,-14.01863028,-2.54276629,-3.204052413,-2.965827444,-2.609604661,-3.550111028,-3.417687252
902.4444444,-14.074177,-2.513318473,-3.168190212,-2.932465473,-2.56984172,-3.50067347,-3.371113617
902.6666667,-14.1282762,-2.484557367,-3.133023689,-2.899532067,-2.529108178,-3.447988168,-3.321427942
902.8888889,-14.18084887,-2.456758035,-3.098234354,-2.8668173,-2.487107874,-3.391561872,-3.267833904
903.1111111,-14.23248408,-2.430395847,-3.06349641,-2.834083939,-2.443957099,-3.331549551,-3.210401365
903.3333333,-14.28428721,-2.405989042,-3.028473381,-2.801059562,-2.400321367,-3.269017731,-3.150367987
903.5555556,-14.33761144,-2.383232671,-2.992849232,-2.767491542,-2.35738197,-3.206155109,-3.090118223
903.7777778,-14.3937191,-2.360293503,-2.956401372,-2.733267768,-2.316546141,-3.146047947,-3.032558552
904,-14.4533944,-2.335694306,-2.919097148,-2.698529494,-2.278993978,-3.091631026,-2.980027285
904.2222222,-14.51654567,-2.309844692,-2.881160802,-2.663656062,-2.245314602,-3.044180595,-2.93341272
904.4444444,-14.58190808,-2.283706403,-2.843049845,-2.629098872,-2.215426681,-3.002666135,-2.892082675
904.6666667,-14.64703695,-2.257820649,-2.805328382,-2.595195068,-2.188758346,-2.964678994,-2.854526993
904.8888889,-14.70875438,-2.232354603,-2.768498102,-2.562088301,-2.164517252,-2.927952849,-2.81913699
905.1111111,-14.76399697,-2.207300435,-2.732871246,-2.529756738,-2.141908447,-2.891210552,-2.784700055
905.3333333,-14.81072171,-2.18257953,-2.698524734,-2.498078956,-2.120255691,-2.85416682,-2.750556054
905.5555556,-14.84843792,-2.158081238,-2.665318071,-2.466888826,-2.099047284,-2.817171547,-2.716548319
905.7777778,-14.87817089,-2.133675559,-2.632940227,-2.436009124,-2.077941435,-2.780867727,-2.682898543
906,-14.90200798,-2.109219596,-2.600969186,-2.405272363,-2.05675431,-2.745972101,-2.650072773
906.2222222,-14.92253232,-2.084567827,-2.568951736,-2.374539408,-2.035439079,-2.713156353,-2.61865862
906.4444444,-14.94236759,-2.059592776,-2.536514119,-2.343721857,-2.014056466,-2.682983151,-2.589253835
906.6666667,-14.96389635,-2.034219628,-2.503485118,-2.312807041,-1.99273743,-2.655863853,-2.562364399
906.8888889,-14.9891079,-2.008471453,-2.46997185,-2.281877022,-1.971642741,-2.632020865,-2.538316152
907.1111111,-15.01950617,-1.982509039,-2.436327499,-2.251108621,-1.950927212,-2.611450152,-2.5171907
907.3333333,-15.05603174,-1.956637118,-2.403016732,-2.22074555,-1.930715232,-2.593888611,-2.498798559
907.5555556,-15.09899173,-1.931252315,-2.37045904,-2.191047098,-1.911089901,-2.578797614,-2.482697753
907.7777778,-15.14802328,-1.906739004,-2.338932199,-2.162232084,-1.892093582,-2.565376974,-2.468255368
908,-15.20212952,-1.883359538,-2.30855733,-2.134440068,-1.873735321,-2.552620883,-2.45473764
908.2222222,-15.25845794,-1.861438818,-2.27970816,-2.108079575,-1.856757871,-2.536979189,-2.429206713
908.4444444,-15.31475964,-1.84081165,-2.252117321,-2.08287751,-1.84033941,-2.516852655,-2.427119207
908.6666667,-15.37193524,-1.820971627,-2.225147414,-2.058205735,-1.822953742,-2.495020537,-2.419039033
908.8888889,-15.42907198,-1.801671453,-2.198769177,-2.034037809,-1.804328584,-2.470540782,-2.393554191
909.1111111,-15.48489861,-1.782676346,-2.172951005,-2.010346387,-1.784130145,-2.44114454,-2.360855539
909.3333333,-15.53806697,-1.763864886,-2.147657625,-1.987104046,-1.762125558,-2.404096114,-2.323895162
909.5555556,-15.58769222,-1.745216981,-2.122848326,-1.964286308,-1.738530634,-2.362116987,-2.2837322
909.7777778,-15.63386433,-1.726760875,-2.09847536,-1.941880309,-1.714370899,-2.324585427,-2.253244321
910,-15.67770024,-1.708535208,-2.074485816,-1.919906664,-1.691312255,-2.294603776,-2.240467538
910.2222222,-15.72084426,-1.690573187,-2.050841272,-1.898466277,-1.670733617,-2.268645658,-2.221421297
910.4444444,-15.76480916,-1.672899253,-2.027606588,-1.877807511,-1.652935451,-2.243806219,-2.196131227
910.6666667,-15.81058027,-1.655530474,-2.005217459,-1.858308022,-1.637314326,-2.21895571,-2.169006073
910.8888889,-15.85856209,-1.63847904,-1.984676611,-1.840135654,-1.623028724,-2.193823988,-2.141654788
911.1111111,-15.90870786,-1.621754621,-1.966145214,-1.822815249,-1.6094238,-2.168435338,-2.114599921
911.3333333,-15.96067311,-1.605366299,-1.947861779,-1.805589348,-1.596112923,-2.142893795,-2.088022269
911.5555556,-16.01392511,-1.589324052,-1.928904417,-1.788120086,-1.582910401,-2.117312973,-2.061987151
911.7777778,-16.06780685,-1.573639776,-1.909590175,-1.770482434,-1.569749346,-2.091795858,-2.03651707
912,-16.12158036,-1.558327677,-1.890299227,-1.75285232,-1.556624342,-2.066430795,-2.011617486
912.2222222,-16.17447816,-1.543403673,-1.871221713,-1.735362266,-1.543558446,-2.041292358,-1.987286834
912.4444444,-16.22578456,-1.528883301,-1.852433238,-1.718087639,-1.530586026,-2.016443393,-1.963520719
912.6666667,-16.27495291,-1.514777598,-1.833958172,-1.701065113,-1.517744448,-1.991937086,-1.940313796
912.8888889,-16.3217392,-1.501086905,-1.8157992,-1.684309244,-1.505070408,-1.967818752,-1.917660667
913.1111111,-16.36630578,-1.487793705,-1.797949852,-1.667822643,-1.492598567,-1.944127307,-1.895556333
913.3333333,-16.40924031,-1.474857317,-1.780399822,-1.651601607,-1.480361305,-1.920896482,-1.873996446
913.5555556,-16.45146108,-1.462214267,-1.76313727,-1.635639119,-1.468388986,-1.898155819,-1.852977478
913.7777778,-16.49403279,-1.449786799,-1.746149853,-1.61992646,-1.45671044,-1.875931513,-1.832496844
914,-16.53796158,-1.43749776,-1.729425185,-1.604454058,-1.445353531,-1.854247135,-1.812553019
914.2222222,-16.58404074,-1.425285779,-1.712951039,-1.589211956,-1.434345747,-1.833124273,-1.793145661
914.4444444,-16.63278292,-1.413114206,-1.696715431,-1.574190051,-1.42371479,-1.812583112,-1.774275747
914.6666667,-16.68443128,-1.400971242,-1.680706647,-1.559378223,-1.413489164,-1.792642972,-1.755945724
914.8888889,-16.73901748,-1.388863503,-1.664913241,-1.544766396,-1.403698767,-1.773322833,-1.738159698
