"Freq [MHz]","dB(S(can_1,can_1)) []","dB(S(can_2,can_2)) []","dB(S(can_3,can_3)) []","dB(S(can_4,can_4)) []","dB(S(can_5,can_5)) []","dB(S(can_6,can_6)) []","dB(S(T1,T1)) []","dB(S(T2,T2)) []","dB(S(T3,T3)) []","dB(S(T4,T4)) []","dB(S(T5,T5)) []","dB(S(T6,T6)) []"
930.222222222222,-0.797071707456802,-0.81499568633589,-0.891103618085895,-0.91823352552973,-0.893372876719434,-0.942764383588504,-3.93834193123481,-3.99620314697451,-3.88796287712572,-3.96340749380326,-3.99529104714896,-3.96696716550441
930.444444444444,-0.791442109190995,-0.808732973287133,-0.884979111631077,-0.918011643653666,-0.888325055956079,-0.936984924242831,-3.91614643524049,-4.0072238472464,-3.87446706547166,-3.97977283373512,-4.04709832622991,-4.02560577902666
930.666666666667,-0.7858502123293,-0.802497436087596,-0.878866696727043,-0.917844732950797,-0.88337707421613,-0.931292871609409,-3.88941940779534,-4.01248608669403,-3.85655012595038,-3.99094568939679,-4.09415877047329,-4.07975655949463
930.888888888889,-0.780297952353733,-0.796289372995583,-0.872766870948413,-0.917730481905165,-0.878526423930453,-0.925685662313174,-3.85853611904229,-4.01202085551214,-3.83449832437311,-3.9969253100352,-4.13614068832819,-4.12900276442602
931.111111111111,-0.774786738493733,-0.790109029161919,-0.866680067382045,-0.917666876924717,-0.873770739581377,-0.920160889540662,-3.82390733236379,-4.00593350690932,-3.80863814318894,-3.99776739523577,-4.17277423110568,-4.17298050337695
931.333333333333,-0.769317552025665,-0.783956597765334,-0.860606657473797,-0.917652142101711,-0.8691077828943,-0.914716284917122,-3.78596849470027,-3.99440017942207,-3.77932762907776,-3.99358122075995,-4.20386033236611,-4.21139034874784
931.555555555556,-0.76389103018467,-0.777832222171024,-0.854546954598393,-0.917684692065522,-0.864535430009418,-0.909349703081088,-3.74516919463122,-3.97766215789932,-3.74694751530646,-3.98452540466766,-4.22927775866447,-4.244007537827
931.777777777778,-0.758507536341712,-0.771735998731406,-0.848501218020484,-0.917763095082493,-0.860051660335176,-0.904059108512217,-3.70196327597912,-3.95601848325896,-3.7118924758642,-3.97080253371977,-4.24898780056891,-4.27069011601914
932,-0.753245116316497,-0.76569463499719,-0.842580510334841,-0.917174592132702,-0.855501439212028,-0.898304829150026,-3.67200084031577,-3.94565697467462,-3.68685936279955,-3.95907532361083,-4.26496937609144,-4.28918951699531
932.222222222222,-0.74823987757565,-0.759733978743923,-0.836793139210285,-0.915507155852304,-0.850739880978829,-0.891877043786253,-3.65383480595415,-3.94259863395266,-3.67314206417861,-3.94761031568991,-4.27493370210586,-4.2989838872004
932.444444444444,-0.743502172420159,-0.753843997068441,-0.831058973019327,-0.913371742683872,-0.845739919081855,-0.884974213621351,-3.63751193713296,-3.93547092490231,-3.66319017762683,-3.93146843145024,-4.27769162939827,-4.30232368607751
932.666666666667,-0.739053416121487,-0.748028713619445,-0.82537440473477,-0.911029245040923,-0.840351001029359,-0.877448780723643,-3.62428912592808,-3.9254768700602,-3.65745588563754,-3.91018028697276,-4.27479392378836,-4.30072726641187
932.888888888889,-0.734894999533416,-0.742295191578997,-0.819736446493315,-0.908725987213678,-0.834389105781451,-0.869206430896607,-3.61437633805371,-3.91336870510488,-3.65489094033893,-3.88207647854525,-4.26874719170184,-4.2963902717709
933.111111111111,-0.731002810493747,-0.736654610503938,-0.814144081731455,-0.906669746047388,-0.827678246508335,-0.86028237258068,-3.60579766669311,-3.89878989699145,-3.65183043225269,-3.84414211797526,-4.26318757143904,-4.29077669997338
933.333333333333,-0.72732717346639,-0.731122999455635,-0.808600999728027,-0.905011257264515,-0.820138718509786,-0.85090023203024,-3.59303695910623,-3.87924371758881,-3.64119510053345,-3.79308450751479,-4.25962156546094,-4.27683514826771
933.555555555556,-0.723799422295745,-0.725720583181774,-0.803120386480279,-0.903835171511589,-0.811897430344979,-0.841450685040372,-3.5667702976249,-3.84917345023161,-3.61347018198143,-3.72796587008697,-4.23857278147781,-4.23266556258441
933.777777777778,-0.720343429595809,-0.720468084513647,-0.797731118868646,-0.903161517072327,-0.803331611938024,-0.83236849863346,-3.51691321384024,-3.80083715759237,-3.56069415011802,-3.65234509961497,-4.16089017855682,-4.16109187471912
934,-0.716888145963164,-0.715378678295611,-0.792479586253172,-0.902955788409249,-0.794958352746766,-0.823978764406545,-3.43903405147291,-3.72888218795901,-3.48167029196574,-3.57297502790096,-4.06244718199221,-4.0904213361595
934.222222222222,-0.713377102863841,-0.710447199113305,-0.787413353430205,-0.90314399618755,-0.787218419746809,-0.816415648655487,-3.33866316240861,-3.63619952380197,-3.38352615795356,-3.49614947304204,-3.98288432181233,-4.02801780054813
934.444444444444,-0.709772761432762,-0.705643266293891,-0.782540515857666,-0.903628784043231,-0.780323460958829,-0.809644224646493,-3.22816409061735,-3.53379051292362,-3.27770457972948,-3.42553949661718,-3.91779305169129,-3.97093146741823
934.666666666667,-0.706056006373254,-0.700916407072804,-0.777801348359056,-0.904303655506237,-0.774259115272274,-0.803535585760024,-3.11961646292382,-3.43376727508462,-3.17449121226697,-3.36249864485412,-3.85987901413952,-3.91702026320155
934.888888888889,-0.702222568506981,-0.696213019196278,-0.773101087966804,-0.905063741046173,-0.768883215621736,-0.797936674776484,-3.02062575738546,-3.34367668698435,-3.08035517129612,-3.30724682522046,-3.8063589708343,-3.86577104622698
935.111111111111,-0.698278366465594,-0.691493909026821,-0.768370707347579,-0.905812769028287,-0.764022045351774,-0.792710828464749,-2.93441014482405,-3.2662166360117,-2.99824474347653,-3.25975970949935,-3.75684330165073,-3.81759892028474
935.333333333333,-0.69423517838349,-0.686741372928218,-0.76358781494538,-0.906466700920406,-0.759523776363794,-0.787752533593045,-2.86159313163852,-3.20146953466611,-2.92897383913802,-3.22019272488514,-3.71199492221458,-3.77340960653825
935.555555555556,-0.690107314356097,-0.681955303659703,-0.758759302382583,-0.906954840551178,-0.755275399346334,-0.782987734773077,-2.80176823407864,-3.14877978047038,-2.87244138133402,-3.18902809820211,-3.67299414355199,-3.7344056646878
935.777777777778,-0.685909415336827,-0.67714496256419,-0.753900631310161,-0.907219257904578,-0.751201032254504,-0.778368578331371,-2.75439012809864,-3.10767667066897,-2.82837514328376,-3.16711386138947,-3.64134924421418,-3.7020183440413
936,-0.681655226233875,-0.67232203774189,-0.749025497150535,-0.907213229793966,-0.747254238710623,-0.773867304078748,-2.71917697943791,-3.07819261134712,-2.79670861285483,-3.15568292287448,-3.6188518337801,-3.67790460331375
936.222222222222,-0.677357111668896,-0.667496737134615,-0.744143126922406,-0.906899205680028,-0.743410244206868,-0.76947113912797,-2.69626548000875,-3.06093326414325,-2.77775714436139,-3.15638957858942,-3.60760335897007,-3.66398474221029
936.444444444444,-0.673026109193679,-0.662676326825892,-0.739258654819801,-0.906246619843513,-0.739659939838985,-0.765178618008827,-2.6862717583591,-3.05708737028828,-2.7723105049969,-3.17137922386846,-3.61008829029942,-3.66251324505365
936.666666666667,-0.668672376696145,-0.657865041684653,-0.734374224193219,-0.905229711736642,-0.736005836077424,-0.7609971762113,-2.69033622568026,-3.06845381866812,-2.7817087779417,-3.20340086577161,-3.62928958475355,-3.67618427448049
936.888888888889,-0.664305941327293,-0.653064603915558,-0.729490038966933,-0.903825368370085,-0.732459544623439,-0.756941659191783,-2.71018996243375,-3.09751580905008,-2.80793871664632,-3.25597270235099,-3.66885197484876,-3.70827906579964
